地区,a
北京,17.793077221527856
天津,12.883777822508643
河北,7.103651195917474
山西,8.166559525524447
内蒙古,10.314829707634464
辽宁,7.401001998469774
吉林,6.486515871515987
黑龙江,6.3793791927669306
上海,16.40950909834963
江苏,14.320061567972642
浙江,11.256218034177044
安徽,8.366007042399259
福建,13.540521856994278
江西,8.56520622969507
山东,9.476488502955071
河南,7.938987940620558
湖北,9.46210255205727
湖南,8.84140733516446
广东,10.694858248093317
广西,6.438059501426171
海南,7.338744801355952
重庆,10.273052367122313
四川,7.368036423551864
贵州,6.7462339947824805
云南,6.34745155167537
西藏,6.6408700027906225
陕西,8.839041134847305
甘肃,4.84771637883292
青海,7.348416528165605
宁夏,7.952185895894898
新疆,7.473857160462386
