地区,总人数
北京,1197.3776703680933
天津,688.6830259668955
河北,3846.6378780545742
山西,1811.146923701276
内蒙古,1320.5885772769566
辽宁,2321.32105936816
吉林,1356.6644271665746
黑龙江,1767.5123905717746
上海,1446.2166599900459
江苏,4901.047394506689
浙江,3909.276861871595
安徽,4022.868076204247
福建,2258.058099578815
江西,2332.064099475317
山东,5719.257528552592
河南,4869.596506618711
湖北,3330.7454014605364
湖南,3790.886639888603
广东,7193.351352581574
广西,2679.3563906874792
海南,562.0844661901766
重庆,1662.1241851653203
四川,4690.1208527941335
贵州,1832.8959862070155
云南,2859.6493721192674
西藏,196.15154124145803
陕西,2117.7086663632144
甘肃,1290.7857916587018
青海,290.84458567993426
宁夏,349.51273682424306
新疆,1418.2731480618525
